"trial_type","trial_index","time_elapsed","internal_node_id","rand_id","tempo","melody","rt","url","stimulus","key_press","button_pressed","correctRESP","correct","designation","harmony","response","term","AUD_PASS","responses","VIS_PASS"
"pavlovia","0","3","0.0-0.0","hhr9ph","80","melody_01","","","","","","","","","","","","","",""
"external-html","1","24403","0.0-1.0","hhr9ph","80","melody_01","24242","consent/consent.html","","","","","","","","","","","",""
"html-keyboard-response","2","26219","0.0-2.0","hhr9ph","80","melody_01","1815","","Welcome to the study. Press any key to begin.","32","","","","","","","","","",""
"html-keyboard-response","3","29781","0.0-3.0-0.0","hhr9ph","80","melody_01","3560","","<p>Before we begin the main task, you will complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p><p></p>(Press SPACEBAR to continue)","32","","","","","","","","","",""
"html-keyboard-response","4","34402","0.0-3.0-1.0","hhr9ph","80","melody_01","4369","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p><p></p>(Press SPACEBAR to listen)","32","","","","","","","","","",""
"audio-button-response","5","43169","0.0-3.0-2.0","hhr9ph","80","melody_01","8513","","audCalib/volumetest.mp3","","0","","","","","","","","",""
"html-keyboard-response","6","47177","0.0-4.0-0.0","hhr9ph","80","melody_01","4007","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occurred first, second, or third.</p><p>There are six trials in total.<p></p><p></p>(Press SPACEBAR to begin)","32","","","","","","","","","",""
"html-keyboard-response","7","47931","0.0-4.0-1.0-0.0","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","8","50289","0.0-4.0-1.0-1.0","hhr9ph","80","melody_01","2355","","audCalib/t2_1.mp3","","1","1","1","headphone-test","","","","","",""
"html-keyboard-response","9","50790","0.0-4.0-1.0-2.0","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-keyboard-response","10","51292","0.0-4.0-1.0-0.1","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","11","53817","0.0-4.0-1.0-1.1","hhr9ph","80","melody_01","2524","","audCalib/t2_2.mp3","","1","1","1","headphone-test","","","","","",""
"html-keyboard-response","12","54318","0.0-4.0-1.0-2.1","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-keyboard-response","13","54820","0.0-4.0-1.0-0.2","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","14","56233","0.0-4.0-1.0-1.2","hhr9ph","80","melody_01","1411","","audCalib/t1_2.mp3","","0","0","1","headphone-test","","","","","",""
"html-keyboard-response","15","56733","0.0-4.0-1.0-2.2","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-keyboard-response","16","57234","0.0-4.0-1.0-0.3","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","17","59705","0.0-4.0-1.0-1.3","hhr9ph","80","melody_01","2470","","audCalib/t3_1.mp3","","2","2","1","headphone-test","","","","","",""
"html-keyboard-response","18","60207","0.0-4.0-1.0-2.3","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-keyboard-response","19","60710","0.0-4.0-1.0-0.4","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","20","61680","0.0-4.0-1.0-1.4","hhr9ph","80","melody_01","968","","audCalib/t1_1.mp3","","0","0","1","headphone-test","","","","","",""
"html-keyboard-response","21","62182","0.0-4.0-1.0-2.4","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-keyboard-response","22","62683","0.0-4.0-1.0-0.5","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","23","66304","0.0-4.0-1.0-1.5","hhr9ph","80","melody_01","3619","","audCalib/t3_2.mp3","","2","2","1","headphone-test","","","","","",""
"html-keyboard-response","24","66806","0.0-4.0-1.0-2.5","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-button-response","25","78984","0.0-5.0","hhr9ph","80","melody_01","12178","","<p><b>Music judgment task</b></p><p>Imagine that a music composer has come to you for feedback.</br>The composer just wrote a new, short melody and wants to know what kinds of feelings it conveys to you.</p><p>Your job is to listen to the melody. After the melody is over, you will be asked to rate the melody on a few adjectives.</br>You will also be asked how much you like the melody.</p><p>When you are ready to listen to the melody, press the button labeled 'Begin'</p>","","0","","","","","","","","",""
"audio-keyboard-response","26","92291","0.0-6.0-0.0","hhr9ph","80","melody_01","null","","80/melody_01/b01.mp3","null","","","","","base-melody","","","","",""
"html-slider-response","27","95416","0.0-6.0-1.0","hhr9ph","80","melody_01","3122","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","base-melody","24","joyful","","",""
"html-slider-response","28","107864","0.0-6.0-2.0","hhr9ph","80","melody_01","12447","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","base-melody","67","bittersweet","","",""
"html-slider-response","29","115209","0.0-6.0-3.0","hhr9ph","80","melody_01","7345","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","base-melody","39","carefree","","",""
"html-slider-response","30","120142","0.0-6.0-4.0","hhr9ph","80","melody_01","4932","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","base-melody","78","sorrowful","","",""
"html-slider-response","31","122959","0.0-6.0-5.0","hhr9ph","80","melody_01","2816","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","base-melody","70","liking","","",""
"html-button-response","32","131510","0.0-7.0","hhr9ph","80","melody_01","8550","","<p>Thank you for your responses.</p><p>Now, imagine that the composer is testing out different versions of the melody you just heard.</p><p>Your job is to listen to these different versions of the melody. You will be asked to rate each melody on a few adjectives.</br>You will also be asked how much you like each melody.</br>There are 13 versions in total.</p><p>When you are ready to listen to the different versions of the melody, press the button labeled 'Begin'</p>","","0","","","","","","","","",""
"audio-keyboard-response","33","144846","0.0-8.0-0.0","hhr9ph","80","melody_01","null","","80/melody_01/b06.mp3","null","","","","","75-major","","","","",""
"html-slider-response","34","147422","0.0-8.0-1.0","hhr9ph","80","melody_01","2574","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","75-major","26","carefree","","",""
"html-slider-response","35","149174","0.0-8.0-2.0","hhr9ph","80","melody_01","1751","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","75-major","56","sorrowful","","",""
"html-slider-response","36","151118","0.0-8.0-3.0","hhr9ph","80","melody_01","1943","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","75-major","62","joyful","","",""
"html-slider-response","37","152942","0.0-8.0-4.0","hhr9ph","80","melody_01","1823","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","75-major","76","bittersweet","","",""
"html-slider-response","38","154846","0.0-8.0-5.0","hhr9ph","80","melody_01","1903","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","75-major","72","liking","","",""
"audio-keyboard-response","39","167917","0.0-8.0-0.1","hhr9ph","80","melody_01","null","","80/melody_01/b12.mp3","null","","","","","ton-maj-1","","","","",""
"html-slider-response","40","171870","0.0-8.0-1.1","hhr9ph","80","melody_01","3952","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","ton-maj-1","57","sorrowful","","",""
"html-slider-response","41","175798","0.0-8.0-2.1","hhr9ph","80","melody_01","3927","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","ton-maj-1","38","joyful","","",""
"html-slider-response","42","177296","0.0-8.0-3.1","hhr9ph","80","melody_01","1497","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","ton-maj-1","36","bittersweet","","",""
"html-slider-response","43","179494","0.0-8.0-4.1","hhr9ph","80","melody_01","2196","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","ton-maj-1","58","carefree","","",""
"html-slider-response","44","180830","0.0-8.0-5.1","hhr9ph","80","melody_01","1336","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","ton-maj-1","33","liking","","",""
"audio-keyboard-response","45","193885","0.0-8.0-0.2","hhr9ph","80","melody_01","null","","80/melody_01/b10.mp3","null","","","","","ton-min-2","","","","",""
"html-slider-response","46","196766","0.0-8.0-1.2","hhr9ph","80","melody_01","2879","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","ton-min-2","35","sorrowful","","",""
"html-slider-response","47","198550","0.0-8.0-2.2","hhr9ph","80","melody_01","1782","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","ton-min-2","70","joyful","","",""
"html-slider-response","48","200030","0.0-8.0-3.2","hhr9ph","80","melody_01","1480","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","ton-min-2","30","bittersweet","","",""
"html-slider-response","49","201742","0.0-8.0-4.2","hhr9ph","80","melody_01","1711","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","ton-min-2","37","carefree","","",""
"html-slider-response","50","202950","0.0-8.0-5.2","hhr9ph","80","melody_01","1207","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","ton-min-2","46","liking","","",""
"audio-keyboard-response","51","216006","0.0-8.0-0.3","hhr9ph","80","melody_01","null","","80/melody_01/b08.mp3","null","","","","","major-7th","","","","",""
"html-slider-response","52","221046","0.0-8.0-1.3","hhr9ph","80","melody_01","5038","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","major-7th","32","sorrowful","","",""
